Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,10950.000000,11075.000000,10625.000000,10625.000000,9923.891602,9809900
2015-12-01,11000.000000,11150.000000,10925.000000,11025.000000,10297.496094,4018200
2015-12-02,11050.000000,11275.000000,11025.000000,11175.000000,10437.598633,3964100
2015-12-03,11000.000000,11200.000000,11000.000000,11075.000000,10344.197266,1573900
2015-12-04,10950.000000,11100.000000,10925.000000,10950.000000,10227.445313,4510900
2015-12-07,11125.000000,11175.000000,10950.000000,11000.000000,10274.145508,3428900
2015-12-08,11000.000000,11125.000000,10925.000000,10975.000000,10250.795898,7002100
2015-12-09,10975.000000,10975.000000,10975.000000,10975.000000,10250.795898,0
2015-12-10,10875.000000,11200.000000,10825.000000,11200.000000,10460.949219,4489800
2015-12-11,11050.000000,11175.000000,10750.000000,10750.000000,10040.642578,5137800
2015-12-14,10700.000000,10725.000000,10300.000000,10450.000000,9760.438477,3703500
2015-12-15,10350.000000,10475.000000,10275.000000,10400.000000,9713.738281,5522900
2015-12-16,10425.000000,10750.000000,10400.000000,10550.000000,9853.840820,6111000
2015-12-17,10900.000000,10900.000000,10700.000000,10800.000000,10087.343750,5316600
2015-12-18,10550.000000,10675.000000,10375.000000,10475.000000,9783.789063,8545500
2015-12-21,10550.000000,10950.000000,10475.000000,10900.000000,10180.745117,6442500
2015-12-22,10975.000000,10975.000000,10800.000000,10975.000000,10250.795898,3225700
2015-12-23,10975.000000,11200.000000,10850.000000,11200.000000,10460.949219,4807500
2015-12-28,11200.000000,11200.000000,10750.000000,11050.000000,10320.846680,6860200
2015-12-29,11175.000000,11200.000000,11075.000000,11175.000000,10437.598633,3022300
2015-12-30,11200.000000,11500.000000,11175.000000,11400.000000,10647.751953,6264000
2016-01-04,11400.000000,11425.000000,11050.000000,11125.000000,10390.897461,3162000
2016-01-05,11100.000000,11400.000000,11025.000000,11150.000000,10414.249023,5570800
2016-01-06,11175.000000,11475.000000,11150.000000,11450.000000,10694.452148,5566500
2016-01-07,11375.000000,11375.000000,11000.000000,11050.000000,10320.846680,3363800
2016-01-08,11025.000000,11100.000000,10850.000000,10975.000000,10250.795898,9930500
2016-01-11,10875.000000,11000.000000,10650.000000,10700.000000,9993.942383,8854800
2016-01-12,10800.000000,10950.000000,10750.000000,10825.000000,10110.694336,8034500
2016-01-13,10950.000000,10975.000000,10850.000000,10900.000000,10180.745117,5897300
2016-01-14,10600.000000,10800.000000,10325.000000,10600.000000,9900.541016,13988700
2016-01-15,10625.000000,10700.000000,10550.000000,10600.000000,9900.541016,5496900
2016-01-18,10400.000000,10500.000000,10350.000000,10450.000000,9760.438477,3159700
2016-01-19,10525.000000,10600.000000,10450.000000,10575.000000,9877.191406,4804700
2016-01-20,10525.000000,10650.000000,10200.000000,10200.000000,9526.935547,10191500
2016-01-21,10400.000000,10450.000000,10000.000000,10075.000000,9410.184570,6122700
2016-01-22,10225.000000,10400.000000,10075.000000,10350.000000,9667.037109,4851100
2016-01-25,10450.000000,10525.000000,10300.000000,10300.000000,9620.336914,8085600
2016-01-26,10150.000000,10250.000000,10025.000000,10050.000000,9386.833984,7976600
2016-01-27,10200.000000,10575.000000,10175.000000,10575.000000,9877.191406,8826700
2016-01-28,10525.000000,10700.000000,10475.000000,10700.000000,9993.942383,8194900
2016-01-29,10800.000000,11050.000000,10500.000000,11050.000000,10320.846680,16683800
2016-02-01,11000.000000,11000.000000,10900.000000,10975.000000,10250.795898,4736800
2016-02-02,10950.000000,11050.000000,10800.000000,10800.000000,10087.343750,4467800
2016-02-03,10700.000000,10700.000000,10425.000000,10475.000000,9783.789063,6925500
2016-02-04,10525.000000,10675.000000,10525.000000,10625.000000,9923.891602,4824300
2016-02-05,10650.000000,10875.000000,10625.000000,10825.000000,10110.694336,9081500
2016-02-09,10825.000000,10825.000000,10600.000000,10700.000000,9993.942383,2628900
2016-02-10,10625.000000,10825.000000,10600.000000,10750.000000,10040.642578,2660500
2016-02-11,10625.000000,11050.000000,10625.000000,10975.000000,10250.795898,9525300
2016-02-12,10900.000000,11175.000000,10775.000000,10875.000000,10157.394531,5874200
2016-02-15,10925.000000,11000.000000,10725.000000,10750.000000,10040.642578,4198800
2016-02-16,10750.000000,10825.000000,10600.000000,10700.000000,9993.942383,3456900
2016-02-17,10625.000000,10675.000000,10450.000000,10575.000000,9877.191406,7723400
2016-02-18,10500.000000,10675.000000,10450.000000,10475.000000,9783.789063,9795800
2016-02-19,10450.000000,10500.000000,10150.000000,10175.000000,9503.584961,9593300
2016-02-22,10200.000000,10300.000000,10100.000000,10125.000000,9456.884766,3876900
2016-02-23,10150.000000,10225.000000,9950.000000,10100.000000,9433.534180,7297500
2016-02-24,10000.000000,10175.000000,9925.000000,10100.000000,9433.534180,4746700
2016-02-25,10175.000000,10300.000000,10150.000000,10200.000000,9526.935547,6077600
2016-02-26,10350.000000,10375.000000,10225.000000,10250.000000,9573.635742,3272200
2016-02-29,10275.000000,10300.000000,10125.000000,10250.000000,9573.635742,6997100
2016-03-01,10225.000000,10275.000000,10150.000000,10250.000000,9573.635742,6658500
2016-03-02,10350.000000,10475.000000,10300.000000,10400.000000,9713.738281,10028400
2016-03-03,10550.000000,10550.000000,10275.000000,10375.000000,9690.387695,7589800
2016-03-04,10450.000000,10475.000000,10325.000000,10425.000000,9737.087891,5242200
2016-03-07,10475.000000,10475.000000,10375.000000,10400.000000,9713.738281,3309000
2016-03-08,10400.000000,10450.000000,10300.000000,10400.000000,9713.738281,6473300
2016-03-10,10400.000000,10625.000000,10275.000000,10600.000000,9900.541016,7921900
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,10550.000000,10575.000000,10450.000000,10475.000000,9783.789063,2793800
2016-03-16,10475.000000,10650.000000,10425.000000,10600.000000,9900.541016,3439300
2016-03-17,10625.000000,10650.000000,10475.000000,10575.000000,9877.191406,5974300
2016-03-18,10600.000000,10625.000000,10375.000000,10500.000000,9807.139648,9839000
2016-03-21,10400.000000,10525.000000,10350.000000,10450.000000,9760.438477,3919600
2016-03-22,10450.000000,10650.000000,10450.000000,10650.000000,9947.242188,6691300
2016-03-23,10650.000000,10725.000000,10575.000000,10725.000000,10017.292969,5358700
2016-03-24,10675.000000,10750.000000,10650.000000,10725.000000,10017.292969,6653500
2016-03-28,10725.000000,10725.000000,10425.000000,10600.000000,9900.541016,3761200
2016-03-29,10600.000000,10600.000000,10250.000000,10250.000000,9573.635742,6156500
2016-03-30,10350.000000,10375.000000,10075.000000,10125.000000,9456.884766,12967400
2016-03-31,10000.000000,10200.000000,10000.000000,10175.000000,9503.584961,10147000
2016-04-01,10175.000000,10200.000000,10075.000000,10200.000000,9526.935547,4440000
2016-04-04,10250.000000,10275.000000,10200.000000,10225.000000,9550.286133,5469300
2016-04-05,10225.000000,10350.000000,10225.000000,10250.000000,9573.635742,8078400
2016-04-06,10250.000000,10300.000000,10225.000000,10275.000000,9596.986328,5285400
2016-04-07,10300.000000,10325.000000,10200.000000,10300.000000,9620.336914,6112600
2016-04-08,10300.000000,10425.000000,10200.000000,10425.000000,9737.087891,5755200
2016-04-11,null,null,null,null,null,null
2016-04-12,10425.000000,10500.000000,10375.000000,10500.000000,9807.139648,4653200
2016-04-13,null,null,null,null,null,null
2016-04-14,null,null,null,null,null,null
2016-04-15,null,null,null,null,null,null
2016-04-18,null,null,null,null,null,null
2016-04-19,10500.000000,10500.000000,10500.000000,10500.000000,9807.139648,0
2016-04-20,10325.000000,10450.000000,10325.000000,10425.000000,9737.087891,2746600
2016-04-21,10425.000000,10525.000000,10400.000000,10525.000000,9830.490234,2789200
2016-04-22,10525.000000,10625.000000,10425.000000,10525.000000,9830.490234,3843900
2016-04-25,10600.000000,10600.000000,10500.000000,10550.000000,9853.840820,5558100
2016-04-26,10525.000000,10525.000000,10225.000000,10325.000000,9643.687500,5847500
2016-04-27,10200.000000,10275.000000,10075.000000,10125.000000,9456.884766,4717900
2016-04-28,10125.000000,10200.000000,10050.000000,10050.000000,9386.833984,3629300
2016-04-29,10025.000000,10050.000000,9800.000000,9900.000000,9246.732422,8919200
2016-05-02,9825.000000,9850.000000,9525.000000,9550.000000,8919.827148,5421700
2016-05-03,9650.000000,9825.000000,9625.000000,9800.000000,9153.330078,6346200
2016-05-04,9800.000000,9875.000000,9675.000000,9825.000000,9176.680664,6695300
2016-05-09,9825.000000,9900.000000,9275.000000,9275.000000,8662.973633,5522400
2016-05-10,9250.000000,9425.000000,9200.000000,9400.000000,8779.725586,4730500
2016-05-11,9650.000000,9700.000000,9450.000000,9650.000000,9013.228516,5622700
2016-05-12,9700.000000,9825.000000,9350.000000,9350.000000,8733.024414,4979500
2016-05-13,9350.000000,9350.000000,8925.000000,9000.000000,8406.119141,9531900
2016-05-16,9050.000000,9100.000000,8875.000000,9100.000000,8499.520508,7439800
2016-05-17,9175.000000,9325.000000,9025.000000,9050.000000,8452.820313,5732500
2016-05-18,9000.000000,9125.000000,9000.000000,9100.000000,8499.520508,3645300
2016-05-19,9050.000000,9075.000000,8825.000000,8850.000000,8266.017578,10896400
2016-05-20,8850.000000,9025.000000,8850.000000,9000.000000,8406.119141,4920300
2016-05-23,8800.000000,8825.000000,8725.000000,8825.000000,8531.711914,5275400
2016-05-24,8825.000000,8875.000000,8675.000000,8700.000000,8410.866211,8469900
2016-05-25,8750.000000,8850.000000,8750.000000,8825.000000,8531.711914,4310200
2016-05-26,8875.000000,8875.000000,8800.000000,8825.000000,8531.711914,3713000
2016-05-27,8850.000000,9100.000000,8750.000000,9100.000000,8797.573242,7547100
2016-05-30,9175.000000,9175.000000,9075.000000,9125.000000,8821.742188,5833300
2016-05-31,9125.000000,9175.000000,9000.000000,9000.000000,8700.896484,10464500
2016-06-01,9000.000000,9200.000000,9000.000000,9100.000000,8797.573242,4768000
2016-06-02,9100.000000,9150.000000,8975.000000,9000.000000,8700.896484,3426600
