Date,Open,High,Low,Close,Adj Close,Volume
2016-02-15,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,2000
2016-02-16,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-02-17,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,2000
2016-02-18,8025.000000,8025.000000,7775.000000,7900.000000,7900.000000,19600
2016-02-19,7950.000000,7950.000000,7500.000000,7900.000000,7900.000000,21200
2016-02-22,7950.000000,7950.000000,7800.000000,7900.000000,7900.000000,3300
2016-02-23,7950.000000,7950.000000,7950.000000,7950.000000,7950.000000,2000
2016-02-24,7950.000000,7950.000000,7600.000000,7750.000000,7750.000000,3200
2016-02-25,7975.000000,7975.000000,7975.000000,7975.000000,7975.000000,3000
2016-02-26,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,2000
2016-02-29,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-03-01,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-03-02,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-03-03,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-03-04,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-03-07,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,2000
2016-03-08,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-03-10,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,2000
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,2000
2016-03-16,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-03-17,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,2000
2016-03-18,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-03-21,8000.000000,8000.000000,7500.000000,7500.000000,7500.000000,3000
2016-03-22,7900.000000,8000.000000,7900.000000,8000.000000,8000.000000,2000
2016-03-23,7600.000000,7600.000000,7500.000000,7500.000000,7500.000000,3400
